Timestamp	Tab	Name	Value	Binding
2021-12-05 12:18:29.967+0000	Tab1	Input_Patient_File	data_clinical_patient.txt	fileInputBinding
2021-12-05 12:18:34.513+0000	Tab1	Input_Sample_File	data_clinical_sample.txt	fileInputBinding
2021-12-05 12:18:38.831+0000	Tab1	Input_CNA_File	data_CNA.txt	fileInputBinding
2021-12-05 12:20:41.235+0000	Tab2	Tab2_Clinical_Sidebar	TRUE	box-sidebar-input
2021-12-05 12:20:44.631+0000	Tab2	Tab2_Clin_Column1_Variable	PATIENT_ID	selectInput
2021-12-05 12:20:47.692+0000	Tab2	Tab2_Clin_Column2_Variable	GRADE	selectInput
2021-12-05 12:20:51.903+0000	Tab2	Tab2_Clin_Column3_Variable	TUMOR_SIZE	selectInput
2021-12-05 12:20:56.351+0000	Tab2	Tab2_Clin_Column4_Variable	TUMOR_STAGE	selectInput
2021-12-05 12:21:04.374+0000	Tab2	Tab2_Clin_Column5_Variable	THREEGENE	selectInput
2021-12-05 12:21:05.818+0000	Tab2	Tab2_Clin_Column5_Variable	CLAUDIN_SUBTYPE	selectInput
2021-12-05 12:21:07.698+0000	Tab2	Tab2_Clinical_Sidebar	FALSE	box-sidebar-input
2021-12-05 12:21:11.841+0000	Tab2	Tab2_CNA_Sidebar	TRUE	box-sidebar-input
2021-12-05 12:21:15.364+0000	Tab2	Tab2_CNA_Column1_Variable	Hugo_Symbol	selectInput
2021-12-05 12:21:18.408+0000	Tab2	Tab2_CNA_Column2_Variable	Entrez_Gene_Id	selectInput
2021-12-05 12:21:21.352+0000	Tab2	Tab2_CNA_Column3_Variable	MB-0000	selectInput
2021-12-05 12:18:30.322+0000	Tab3	Tab3_Subset_Variable_1	PATIENT_ID	selectInput
2021-12-05 12:18:30.322+0000	Tab3	Tab3_Subset_Variable_1	PATIENT_ID	selectInput
2021-12-05 12:18:30.333+0000	Tab3	Tab3_Subset_Variable_2	LYMPH_NODES_EXAMINED_POSITIVE	selectInput
2021-12-05 12:18:30.335+0000	Tab3	Tab3_Subset_Variable_2	LYMPH_NODES_EXAMINED_POSITIVE	selectInput
2021-12-05 12:18:30.345+0000	Tab3	Tab3_Subset_Variable_3	NPI	selectInput
2021-12-05 12:18:30.345+0000	Tab3	Tab3_Subset_Variable_3	NPI	selectInput
2021-12-05 12:18:34.722+0000	Tab3	Tab3_Subset_Variable_1	PATIENT_ID	selectInput
2021-12-05 12:18:34.722+0000	Tab3	Tab3_Subset_Variable_1	PATIENT_ID	selectInput
2021-12-05 12:18:34.734+0000	Tab3	Tab3_Subset_Variable_2	LYMPH_NODES_EXAMINED_POSITIVE	selectInput
2021-12-05 12:18:34.734+0000	Tab3	Tab3_Subset_Variable_2	LYMPH_NODES_EXAMINED_POSITIVE	selectInput
2021-12-05 12:18:34.744+0000	Tab3	Tab3_Subset_Variable_3	NPI	selectInput
2021-12-05 12:18:34.745+0000	Tab3	Tab3_Subset_Variable_3	NPI	selectInput
2021-12-05 12:21:43.510+0000	Tab3	Tab3_Convert_Type_Sidebar	TRUE	box-sidebar-input
2021-12-05 12:21:46.520+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY	selectInput
2021-12-05 12:21:47.199+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY	selectInput
2021-12-05 12:21:48.462+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC	selectInput
2021-12-05 12:21:49.494+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6	selectInput
2021-12-05 12:21:51.634+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY	selectInput
2021-12-05 12:21:52.378+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE	selectInput
2021-12-05 12:21:53.627+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST	selectInput
2021-12-05 12:21:57.149+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST CLAUDIN_SUBTYPE	selectInput
2021-12-05 12:21:59.895+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST CLAUDIN_SUBTYPE RADIO_THERAPY	selectInput
2021-12-05 12:22:01.849+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST CLAUDIN_SUBTYPE RADIO_THERAPY THREEGENE	selectInput
2021-12-05 12:22:04.313+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST CLAUDIN_SUBTYPE RADIO_THERAPY THREEGENE BREAST_SURGERY	selectInput
2021-12-05 12:22:12.519+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST CLAUDIN_SUBTYPE RADIO_THERAPY THREEGENE BREAST_SURGERY HISTOLOGICAL_SUBTYPE	selectInput
2021-12-05 12:22:14.684+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST CLAUDIN_SUBTYPE RADIO_THERAPY THREEGENE BREAST_SURGERY HISTOLOGICAL_SUBTYPE HER2_STATUS	selectInput
2021-12-05 12:22:22.542+0000	Tab3	Tab3_Variables_to_Factor	CELLULARITY CHEMOTHERAPY ER_IHC HER2_SNP6 HORMONE_THERAPY INFERRED_MENOPAUSAL_STATE INTCLUST CLAUDIN_SUBTYPE RADIO_THERAPY THREEGENE BREAST_SURGERY HISTOLOGICAL_SUBTYPE HER2_STATUS PR_STATUS	selectInput
